Designator,Footprint,Quantity,Value,LCSC Part #
B1,LM2596_Module,1,LM2596 Module,
"C1, C7",CP_Radial_D6.3mm_P2.50mm,2,220uF,
"C10, C11, C12, C13, C14, C15, C16, C19, C2, C20, C21, C22, C23, C24, C26, C3, C4, C5, C6, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,21,100nF_Ceramic,
C17,CP_Radial_D6.3mm_P2.50mm,1,10uF_10V,
C18,CP_Radial_D16.0mm_P7.50mm,1,4700uF_16V,
C25,CP_Radial_D5.0mm_P2.00mm,1,10uF_16V,
"D1, D3",D_DO-41_SOD81_P7.62mm_Horizontal,2,1N5819,
I1,ICM-20948-module,1,~,
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,MotLA,
J10,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,Screw_Terminal_2_P5.00mm,
J11,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JSTHCSR04,
J12,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,IR_RF,
J13,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,IR_LF,
J14,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,GV,
J15,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST RF-LOG,
J16,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,RF_PWR,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,MotLB,
J3,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Servo,
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,MotRA,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,MotRB,
J6,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,ENC_LF,
J7,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,ENC_LR,
J8,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,ENC_RF,
J9,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,ENC_RR,
LED1,LED_D5.0mm-4_RGB_Wide_Pins,1,LED_5mm_RGB_Kcom_RKGB,
"LS_1, LS_2, LS_3",Level shifter 4 bi-dir,3,Level Shifter,
MD1,TB6612FNG motor driver carrier,1,LeftTrack,
MD2,TB6612FNG motor driver carrier,1,RightTrack,
OLED1,SSD1306,1,~,
P1,PCA9555 Port Expander,1,Port Expander,
"R10, R11",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,220ohm,
"R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,47ohm,
"R4, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,20k,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1k,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330ohm,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
U2,DIP-16_W7.62mm_LongPads,1,CD4049UB,
