Designator,Mid X,Mid Y,Rotation,Layer
B1,135.85,-64.65,180.0,top
C1,138.0,-87.1824,90.0,top
C10,82.25,-66.5,90.0,top
C11,60.0,-72.75,90.0,top
C12,63.25,-72.75,90.0,top
C13,97.5,-51.5,90.0,top
C14,83.75,-119.75,270.0,top
C15,64.25,-102.25,0.0,top
C16,56.75,-72.75,90.0,top
C17,82.9324,-60.0,180.0,top
C18,146.0,-78.0,270.0,top
C19,134.25,-100.0,90.0,top
C2,110.0,-63.0,0.0,top
C20,76.75,-58.0,0.0,top
C21,71.0,-58.0,0.0,top
C22,151.5,-121.75,0.0,top
C23,137.0,-121.0,0.0,top
C24,143.25,-121.0,0.0,top
C25,142.0,-99.75,270.0,top
C26,147.25,-99.75,270.0,top
C3,97.0,-59.0,90.0,top
C4,64.25,-98.75,0.0,top
C5,65.25,-58.0,0.0,top
C6,66.0,-110.0,0.0,top
C7,137.5,-69.0,90.0,top
C8,57.75,-58.0,0.0,top
C9,106.5,-134.5,270.0,top
D1,149.0,-125.25,0.0,top
D3,138.25,-125.25,0.0,top
I1,50.5,-86.75,90.0,top
J1,109.5,-92.0,270.0,top
J10,147.75,-44.75,90.0,top
J11,72.95,-104.25,90.0,top
J12,142.7,-114.75,90.0,top
J13,136.5,-114.75,90.0,top
J14,152.25,-103.75,270.0,top
J15,57.75,-104.0,90.0,top
J16,90.75,-59.25,0.0,top
J2,109.5,-84.5,270.0,top
J3,114.5,-101.3,180.0,top
J4,109.5,-76.5,270.0,top
J5,109.5,-69.25,270.0,top
J6,68.25,-64.25,270.0,top
J7,75.5,-64.25,270.0,top
J8,69.5,-72.8,180.0,top
J9,78.75,-72.8,180.0,top
LED1,91.3295,-120.0,0.0,top
LS_1,61.83,-47.6,0.0,top
LS_2,75.58,-47.6,0.0,top
LS_3,89.33,-47.6,0.0,top
MD1,123.620011,-87.365,90.0,top
MD2,123.620011,-70.945,90.0,top
OLED1,68.5,-114.205,0.0,top
P1,120.5,-121.9275,180.0,top
R10,84.75,-130.33,270.0,top
R11,102.08,-121.75,0.0,top
R2,142.5,-104.25,0.0,top
R3,142.5,-107.25,0.0,top
R4,147.25,-68.0,180.0,top
R5,82.25,-104.25,90.0,top
R6,79.0,-104.25,90.0,top
R7,148.0,-56.42,90.0,top
R8,147.25,-64.5,180.0,top
R9,102.0,-118.25,0.0,top
SW1,95.75,-131.25,180.0,top
U1,94.99,-89.2325,0.0,top
U2,143.69,-132.81,270.0,top
